Model,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_Specificity,Validation_F1,Validation_ROC_AUC,Validation_PR_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_F1,Test_ROC_AUC,Test_PR_AUC
CatBoost,0.9203539823008849,0.9125,0.8690476190476191,0.9507042253521126,0.8902439024390244,0.9465962441314554,0.9326809532704579,0.9511111111111111,0.9506172839506173,0.9166666666666666,0.9716312056737588,0.9333333333333333,0.9598953056399864,0.9491733296656898
XGBoost,0.8805309734513275,0.8607594936708861,0.8095238095238095,0.9225352112676056,0.8343558282208589,0.9327632461435278,0.9117725829200959,0.92,0.8928571428571429,0.8928571428571429,0.9361702127659575,0.8928571428571429,0.9501857480580884,0.9299856560981896
LightGBM,0.8893805309734514,0.8641975308641975,0.8333333333333334,0.9225352112676056,0.8484848484848485,0.9325955734406439,0.9105025380640053,0.9244444444444444,0.9135802469135802,0.8809523809523809,0.950354609929078,0.896969696969697,0.950692333671057,0.9319841098544808
Random Forest,0.8938053097345132,0.8947368421052632,0.8095238095238095,0.9436619718309859,0.85,0.925720992622401,0.9126488307563146,0.9155555555555556,0.922077922077922,0.8452380952380952,0.9574468085106383,0.8819875776397516,0.9459219858156029,0.93619187192951
Logistic Regression,0.827433628318584,0.8,0.7142857142857143,0.8943661971830986,0.7547169811320755,0.9054325955734407,0.8674672117188206,0.84,0.8,0.7619047619047619,0.8865248226950354,0.7804878048780488,0.9206349206349207,0.8979671494186962
