Accuracy,Precision,Recall,Specificity,F1,ROC_AUC,PR_AUC,Fold,Strategy
0.919047619047619,0.9178082191780822,0.8589743589743589,0.9545454545454546,0.8874172185430463,0.9552253302253303,0.943933494745679,1,Baseline
0.9380952380952381,0.9452054794520548,0.8846153846153846,0.9696969696969697,0.9139072847682119,0.9334693084693085,0.8904932589583966,2,Baseline
0.9285714285714286,0.9315068493150684,0.8717948717948718,0.9621212121212122,0.9006622516556292,0.964840714840715,0.9579634567540326,3,Baseline
0.9380952380952381,0.9333333333333333,0.8974358974358975,0.9621212121212122,0.9150326797385621,0.9588189588189588,0.9515332079076301,4,Baseline
0.937799043062201,0.9571428571428572,0.8701298701298701,0.9772727272727273,0.9115646258503401,0.9521841794569068,0.95843693213655,5,Baseline
0.919047619047619,0.8860759493670886,0.8974358974358975,0.9318181818181818,0.89171974522293,0.9550310800310801,0.9458322848258905,1,Class Weighted
0.9333333333333333,0.9324324324324325,0.8846153846153846,0.9621212121212122,0.9078947368421053,0.9334693084693084,0.8903145836226637,2,Class Weighted
0.9142857142857143,0.9054054054054054,0.8589743589743589,0.946969696969697,0.881578947368421,0.9613442113442113,0.9531678031752647,3,Class Weighted
0.919047619047619,0.8860759493670886,0.8974358974358975,0.9318181818181818,0.89171974522293,0.9546425796425796,0.9484686111984507,4,Class Weighted
0.937799043062201,0.9444444444444444,0.8831168831168831,0.9696969696969697,0.912751677852349,0.9536599763872491,0.9594480528827,5,Class Weighted
0.8238095238095238,0.7411764705882353,0.8076923076923077,0.8333333333333334,0.7730061349693251,0.9205516705516705,0.8910803219740044,1,SMOTE
0.8809523809523809,0.8117647058823529,0.8846153846153846,0.8787878787878788,0.8466257668711656,0.9325951825951826,0.8908415829528766,2,SMOTE
0.8761904761904762,0.8023255813953488,0.8846153846153846,0.8712121212121212,0.8414634146341463,0.9455128205128206,0.933958987050529,3,SMOTE
0.861904761904762,0.7692307692307693,0.8974358974358975,0.8409090909090909,0.8284023668639053,0.9323038073038074,0.9096775224046157,4,SMOTE
0.8708133971291866,0.8125,0.8441558441558441,0.8863636363636364,0.8280254777070064,0.9230617866981503,0.9139063424264616,5,SMOTE
