Threshold,Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.1,0.827433628318584,0.7027027027027027,0.9285714285714286,0.7676056338028169,0.8,78,109,33,6
0.11,0.8407079646017699,0.7222222222222222,0.9285714285714286,0.7887323943661971,0.8125,78,112,30,6
0.12,0.8628318584070797,0.7572815533980582,0.9285714285714286,0.823943661971831,0.8342245989304813,78,117,25,6
0.13,0.8716814159292036,0.7722772277227723,0.9285714285714286,0.8380281690140845,0.8432432432432433,78,119,23,6
0.13999999999999999,0.8761061946902655,0.78,0.9285714285714286,0.8450704225352113,0.8478260869565217,78,120,22,6
0.14999999999999997,0.8761061946902655,0.78,0.9285714285714286,0.8450704225352113,0.8478260869565217,78,120,22,6
0.15999999999999998,0.8761061946902655,0.78,0.9285714285714286,0.8450704225352113,0.8478260869565217,78,120,22,6
0.16999999999999998,0.8849557522123894,0.7959183673469388,0.9285714285714286,0.8591549295774648,0.8571428571428571,78,122,20,6
0.17999999999999997,0.8849557522123894,0.7959183673469388,0.9285714285714286,0.8591549295774648,0.8571428571428571,78,122,20,6
0.18999999999999995,0.8849557522123894,0.8020833333333334,0.9166666666666666,0.8661971830985915,0.8555555555555555,77,123,19,7
0.19999999999999996,0.8938053097345132,0.8191489361702128,0.9166666666666666,0.8802816901408451,0.8651685393258427,77,125,17,7
0.20999999999999996,0.8938053097345132,0.8191489361702128,0.9166666666666666,0.8802816901408451,0.8651685393258427,77,125,17,7
0.21999999999999995,0.8938053097345132,0.8191489361702128,0.9166666666666666,0.8802816901408451,0.8651685393258427,77,125,17,7
0.22999999999999995,0.8938053097345132,0.8191489361702128,0.9166666666666666,0.8802816901408451,0.8651685393258427,77,125,17,7
0.23999999999999994,0.8938053097345132,0.8191489361702128,0.9166666666666666,0.8802816901408451,0.8651685393258427,77,125,17,7
0.24999999999999992,0.8938053097345132,0.8191489361702128,0.9166666666666666,0.8802816901408451,0.8651685393258427,77,125,17,7
0.2599999999999999,0.8938053097345132,0.8260869565217391,0.9047619047619048,0.8873239436619719,0.8636363636363636,76,126,16,8
0.2699999999999999,0.8938053097345132,0.8260869565217391,0.9047619047619048,0.8873239436619719,0.8636363636363636,76,126,16,8
0.2799999999999999,0.8938053097345132,0.8260869565217391,0.9047619047619048,0.8873239436619719,0.8636363636363636,76,126,16,8
0.2899999999999999,0.8938053097345132,0.8260869565217391,0.9047619047619048,0.8873239436619719,0.8636363636363636,76,126,16,8
0.29999999999999993,0.8938053097345132,0.8260869565217391,0.9047619047619048,0.8873239436619719,0.8636363636363636,76,126,16,8
0.30999999999999994,0.8982300884955752,0.8351648351648352,0.9047619047619048,0.8943661971830986,0.8685714285714285,76,127,15,8
0.3199999999999999,0.8982300884955752,0.8351648351648352,0.9047619047619048,0.8943661971830986,0.8685714285714285,76,127,15,8
0.32999999999999985,0.8982300884955752,0.8351648351648352,0.9047619047619048,0.8943661971830986,0.8685714285714285,76,127,15,8
