Strategy,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Specificity_Mean,Specificity_Std,F1_Mean,F1_Std,ROC_AUC_Mean,ROC_AUC_Std,PR_AUC_Mean,PR_AUC_Std
Baseline,0.932321713374345,0.008469571007624894,0.9369993476842792,0.014874543562714854,0.8765900765900765,0.014781708115863062,0.9651515151515152,0.008637692614387401,0.9057168121111578,0.011709930226970823,0.9529076983622439,0.011843624668482296,0.9404720701004579,0.028552130692727225
Class Weighted,0.9247026657552972,0.010228336935433817,0.9108868362032918,0.026699869299893673,0.8843156843156843,0.015716151717885766,0.9484848484848485,0.017275385228774854,0.8971329705017471,0.012848086292700421,0.9516294311748856,0.010594106886715512,0.9394462671409938,0.027948426715582796
SMOTE,0.8627341079972659,0.022880479105698733,0.7873995054193412,0.03127761775425652,0.8637029637029636,0.03718821380626003,0.8621212121212121,0.02359456288242034,0.8235046322091097,0.02937528215392959,0.9308050535323262,0.009834369302285999,0.9078929513616976,0.01797357403229601
