Metric,Mean,Std,Min,Max
ACCURACY,0.932321713374345,0.007575414605324261,0.919047619047619,0.9380952380952381
PRECISION,0.9369993476842792,0.013304196216204928,0.9178082191780822,0.9571428571428572
RECALL,0.8765900765900765,0.013221161668252058,0.8589743589743589,0.8974358974358975
F1,0.9057168121111578,0.01047367999971452,0.8874172185430463,0.9150326797385621
ROC_AUC,0.9529076983622439,0.010593259943487929,0.9334693084693085,0.964840714840715
PR_AUC,0.9404720701004579,0.025537802052558494,0.8904932589583966,0.95843693213655
